<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;100701;000000;254.3000000;254.8000000;243.2200000;248.4700000;35.031.564
US1.AAPL;D;100702;000000;250.5000000;250.9300000;243.2000000;247.0000000;23.662.633
US1.AAPL;D;100706;000000;251.0000000;252.8000000;246.1600000;248.6000000;20.784.582
US1.AAPL;D;100707;000000;250.4900000;258.7700000;249.7500000;258.7700000;22.347.254
US1.AAPL;D;100708;000000;262.5400000;262.9000000;254.8900000;258.0000000;25.335.397
US1.AAPL;D;100709;000000;256.8800000;259.9000000;255.1600000;259.7000000;15.049.470
US1.AAPL;D;100712;000000;258.6000000;261.8500000;254.8600000;257.2990000;19.739.492
US1.AAPL;D;100713;000000;256.3600000;256.4000000;246.4300000;252.1100000;41.290.161
US1.AAPL;D;100714;000000;249.3500000;255.8000000;249.0000000;252.8400000;27.855.972
US1.AAPL;D;100715;000000;248.2300000;256.9700000;247.3000000;251.3000000;27.867.598
US1.AAPL;D;100716;000000;253.0500000;254.9700000;248.4100000;249.8600000;35.433.813
US1.AAPL;D;100719;000000;249.8800000;249.8800000;239.6000000;245.6400000;35.348.484
US1.AAPL;D;100720;000000;242.9000000;252.9000000;240.0100000;252.0700000;32.001.197
US1.AAPL;D;100721;000000;265.1200000;265.1500000;254.0000000;254.2500000;39.648.134
US1.AAPL;D;100722;000000;257.5800000;260.0000000;255.3100000;259.2900000;21.858.598
US1.AAPL;D;100723;000000;257.0800000;260.3800000;256.2800000;260.0500000;18.070.575
US1.AAPL;D;100726;000000;260.0300000;260.0998000;257.7100000;259.2700000;13.320.491
US1.AAPL;D;100727;000000;260.8700000;264.8000000;260.3000000;264.0900000;19.995.262
US1.AAPL;D;100728;000000;263.6600000;265.9900000;260.2500000;260.9800000;17.647.813
US1.AAPL;D;100729;000000;260.7100000;262.6500000;256.1000000;258.1100000;22.083.425
US1.AAPL;D;100730;000000;255.9800000;259.7000000;254.9000000;257.2900000;15.028.700
US1.AAPL;D;100802;000000;260.3800000;262.5900000;259.6200000;261.7700000;14.484.579
US1.AAPL;D;100803;000000;261.0100000;263.2600000;259.4200000;261.9200000;13.357.823
US1.AAPL;D;100804;000000;262.8400000;264.2800000;260.3110000;262.9400000;14.543.812
US1.AAPL;D;100805;000000;261.7300000;263.1800000;260.5500000;261.7000000;9.947.935
US1.AAPL;D;100806;000000;259.7200000;261.4900000;257.6300000;260.1500000;15.240.593
US1.AAPL;D;100809;000000;261.4400000;262.1500000;259.5700000;261.8000000;10.250.257
US1.AAPL;D;100810;000000;259.8500000;260.4500000;257.5500000;259.4000000;15.618.791
US1.AAPL;D;100811;000000;255.3400000;255.6900000;249.8100000;250.0700000;21.082.920
US1.AAPL;D;100812;000000;246.6500000;253.1000000;246.1200000;251.7900000;18.183.963
US1.AAPL;D;100813;000000;251.1500000;251.8800000;249.0900000;249.1000000;11.950.413
US1.AAPL;D;100816;000000;247.6300000;250.0100000;246.6200000;247.6700000;10.931.424
US1.AAPL;D;100817;000000;250.0800000;254.6300000;249.2000000;252.1200000;14.386.651
US1.AAPL;D;100818;000000;252.5200000;254.6700000;251.5800000;253.0700000;11.458.684
US1.AAPL;D;100819;000000;252.7800000;253.4800000;248.6800000;249.8300000;14.513.660
US1.AAPL;D;100820;000000;249.3300000;253.9200000;249.0000000;249.6600000;11.980.870
US1.AAPL;D;100823;000000;251.7900000;252.0000000;245.2500000;245.8000000;13.865.756
US1.AAPL;D;100824;000000;242.6700000;243.0000000;238.6500000;240.2500000;20.314.720
US1.AAPL;D;100825;000000;238.0400000;243.9900000;237.2000000;242.8900000;20.583.490
US1.AAPL;D;100826;000000;245.3700000;245.7500000;240.2800000;240.2900000;15.310.998
US1.AAPL;D;100827;000000;241.7800000;242.6100000;235.5600000;241.5900000;18.879.774
US1.AAPL;D;100830;000000;240.7600000;245.7500000;240.6801000;242.5100000;12.853.549
US1.AAPL;D;100831;000000;241.7800000;244.5600000;240.3500000;243.3700000;13.679.063
US1.AAPL;D;100901;000000;247.4600000;251.4600000;246.2800000;250.2700000;23.726.574
US1.AAPL;D;100902;000000;251.3100000;252.1700000;248.5700000;252.1700000;14.106.547
US1.AAPL;D;100903;000000;255.0800000;258.7800000;254.5000000;258.7700000;16.597.939
US1.AAPL;D;100907;000000;256.6400000;259.5300000;256.2500000;257.9500000;11.819.162
US1.AAPL;D;100908;000000;259.7800000;264.3899000;259.1000000;262.9100000;17.989.235
US1.AAPL;D;100909;000000;265.0900000;266.5200000;263.0200000;263.0700000;14.587.595
US1.AAPL;D;100910;000000;263.0900000;264.5000000;261.4000000;263.4000000;13.265.498
US1.AAPL;D;100913;000000;265.9500000;268.2800000;265.7600000;267.3000000;12.852.865
US1.AAPL;D;100914;000000;266.1900000;269.1700000;265.5200000;268.0400000;13.958.840
US1.AAPL;D;100915;000000;268.1700000;270.3800000;267.8400000;270.2300000;14.133.091
US1.AAPL;D;100916;000000;270.2800000;276.6700000;269.5000000;276.5700000;22.042.348
US1.AAPL;D;100917;000000;277.7200000;277.9600000;273.6800000;275.4600000;18.033.712
US1.AAPL;D;100920;000000;276.1600000;283.7800000;275.8500000;283.5400000;22.777.589
US1.AAPL;D;100921;000000;283.9800000;287.3500000;282.7900000;284.1500000;22.482.316
US1.AAPL;D;100922;000000;282.7100000;287.9800000;282.4100000;287.7400000;19.742.966
US1.AAPL;D;100923;000000;286.5800000;292.7600000;286.0000000;288.9200000;27.270.678
US1.AAPL;D;100924;000000;292.0000000;293.5300000;290.5500000;292.4800000;21.718.673
US1.AAPL;D;100927;000000;293.9750000;294.7300000;291.0100000;291.0200000;16.021.827
US1.AAPL;D;100928;000000;291.7100000;291.7700000;275.0000000;286.8500000;36.027.511
US1.AAPL;D;100929;000000;287.4500000;289.8100000;286.0000000;287.3400000;16.109.377
US1.AAPL;D;100930;000000;289.0100000;290.0000000;281.2500000;283.7500000;22.707.164
US1.AAPL;D;101001;000000;286.4000000;286.5800000;281.3500000;282.5200000;15.338.666
US1.AAPL;D;101004;000000;281.6000000;282.9000000;277.7700000;278.6000000;14.964.464
US1.AAPL;D;101005;000000;281.9600000;289.4400000;281.8205000;289.4400000;16.379.352
US1.AAPL;D;101006;000000;289.6400000;291.9900000;285.2600000;288.9600000;22.791.119
US1.AAPL;D;101007;000000;290.2600000;290.4800000;286.9100000;289.1000000;13.965.617
US1.AAPL;D;101008;000000;291.8300000;294.5000000;290.0000000;294.1100000;21.492.761
US1.AAPL;D;101011;000000;294.7500000;297.2400000;294.6000000;295.3600000;14.506.715
US1.AAPL;D;101012;000000;295.4100000;299.5000000;292.4900000;298.7400000;18.921.999
US1.AAPL;D;101013;000000;300.2000000;301.9600000;299.8000000;300.0800000;18.614.643
US1.AAPL;D;101014;000000;301.3800000;302.4700000;300.4000000;302.2700000;14.014.759
US1.AAPL;D;101015;000000;307.2700000;315.0000000;304.9100000;314.9700000;30.674.140
US1.AAPL;D;101018;000000;318.4500000;319.0000000;314.2900000;317.9200000;31.916.474
US1.AAPL;D;101019;000000;303.3800000;313.7700000;300.0200000;309.6500000;39.929.170
US1.AAPL;D;101020;000000;309.0000000;314.2500000;306.8700000;310.5300000;24.500.503
US1.AAPL;D;101021;000000;312.3800000;314.7400000;306.8000000;309.3850000;18.471.864
US1.AAPL;D;101022;000000;309.1100000;310.0400000;306.3000000;307.8800000;12.349.017
US1.AAPL;D;101025;000000;309.1100000;311.6000000;308.4400000;308.8300000;12.634.616
US1.AAPL;D;101026;000000;306.9900000;309.7400000;305.6500000;308.0600000;12.895.388
US1.AAPL;D;101027;000000;307.5800000;309.9000000;305.6000000;307.7100000;12.326.799
US1.AAPL;D;101028;000000;308.0100000;308.0100000;300.9000000;305.2300000;18.868.867
US1.AAPL;D;101029;000000;304.2300000;305.8800000;300.8800000;300.8800000;13.834.892
US1.AAPL;D;101101;000000;302.4700000;305.6000000;302.2000000;304.1800000;14.633.606
US1.AAPL;D;101102;000000;307.2800000;310.1900000;307.0000000;309.7000000;14.519.163
US1.AAPL;D;101103;000000;311.3700000;312.8800000;308.5300000;312.7500000;17.389.497
US1.AAPL;D;101104;000000;315.4500000;320.1800000;315.0300000;318.2500000;20.960.980
US1.AAPL;D;101105;000000;317.8900000;319.5700000;316.7500000;317.1300000;11.927.162
US1.AAPL;D;101108;000000;317.4700000;319.6200000;316.7600000;318.8000000;9.054.149
US1.AAPL;D;101109;000000;321.0400000;321.3000000;314.5000000;316.0800000;12.793.909
US1.AAPL;D;101110;000000;316.6800000;318.7700000;313.5500000;318.0900000;12.946.468
US1.AAPL;D;101111;000000;315.0500000;318.4000000;314.2500000;316.5400000;12.258.201
US1.AAPL;D;101112;000000;316.0700000;316.5000000;303.6300000;308.1100000;27.691.031
US1.AAPL;D;101115;000000;308.5100000;310.5400000;306.2700000;307.4100000;13.356.571
US1.AAPL;D;101116;000000;305.9600000;307.6000000;299.3200000;301.2400000;22.221.885
US1.AAPL;D;101117;000000;301.1400000;303.9900000;297.7600000;300.3500000;16.367.333
US1.AAPL;D;101118;000000;304.9800000;309.6700000;304.6900000;308.5700000;16.298.259
US1.AAPL;D;101119;000000;307.9700000;308.4000000;305.2400000;306.9000000;13.014.542
US1.AAPL;D;101122;000000;306.4700000;313.3600000;305.8700000;313.3600000;13.262.577
US1.AAPL;D;101123;000000;310.5000000;311.7500000;306.5600000;308.7200000;16.465.969
US1.AAPL;D;101124;000000;312.0900000;315.4000000;311.7500000;314.7800000;13.630.248
US1.AAPL;D;101126;000000;313.8300000;317.6999000;312.9400000;314.6700000;8.196.669
US1.AAPL;D;101129;000000;315.6100000;317.4800000;311.3800000;316.8300000;15.037.614
US1.AAPL;D;101130;000000;313.6900000;314.3600000;310.8700000;311.1500000;16.418.799
US1.AAPL;D;101201;000000;315.3400000;317.7500000;315.0000000;316.7200000;14.530.349
US1.AAPL;D;101202;000000;317.6200000;319.0000000;314.8900000;318.1300000;15.305.141
US1.AAPL;D;101203;000000;316.9900000;318.6500000;316.3400000;317.4700000;11.063.898
US1.AAPL;D;101206;000000;318.6000000;322.3300000;318.4200000;320.1700000;15.328.657
